;site_code;site_name;value_amount;lon;lat;name_map
797;29741;Красное;17716;85.24;54.36;Красное (29741) кол-во измерений:17716
798;29745;Белово;11201;86.22;54.27;Белово (29745) кол-во измерений:11201
799;29749;Киселевск им. Л. Р. и Н. А. Петровых;17228;86.39;54.02;Киселевск им. Л. Р. и Н. А. Петровых (29749) кол-во измерений:17228
800;29752;Ненастная;15304;88.82;54.75;Ненастная (29752) кол-во измерений:15304
801;29756;Шира ст.ж.д.;17685;89.9333;54.5;Шира ст.ж.д. (29756) кол-во измерений:17685
802;29759;Коммунар;17353;89.28;54.33;Коммунар (29759) кол-во измерений:17353
803;29761;Первомайское;12662;90.86669999999998;54.5833;Первомайское (29761) кол-во измерений:12662
804;29766;Идринское;17714;92.1333;54.3667;Идринское (29766) кол-во измерений:17714
805;29771;Щетинкино;15432;93.43;54.53;Щетинкино (29771) кол-во измерений:15432
806;29772;Артемовск;17714;93.38;54.52;Артемовск (29772) кол-во измерений:17714
807;29789;Верхняя Гутара;17347;96.97;54.22;Верхняя Гутара (29789) кол-во измерений:17347
808;29794;Нерой;16377;97.83;54.46;Нерой (29794) кол-во измерений:16377
809;29813;Краснозерск;14412;79.16;53.59;Краснозерск (29813) кол-во измерений:14412
810;29814;Карасук;17710;78.01;53.44;Карасук (29814) кол-во измерений:17710
811;29816;Хабары;17746;79.33;53.37;Хабары (29816) кол-во измерений:17746
812;29822;Камень-на-Оби;17705;81.16;53.49;Камень-на-Оби (29822) кол-во измерений:17705
813;29823;Сузун;17657;82.19;53.46;Сузун (29823) кол-во измерений:17657
814;29827;Баево;16614;80.47;53.17;Баево (29827) кол-во измерений:16614
815;29832;Тальменка;17697;83.35;53.49;Тальменка (29832) кол-во измерений:17697
816;29836;Заринск;16220;84.56;53.45;Заринск (29836) кол-во измерений:16220
817;29837;Шелаболиха;17367;82.36;53.25;Шелаболиха (29837) кол-во измерений:17367
818;29838;Алтайский ЦГМС;17775;83.52;53.43;Алтайский ЦГМС (29838) кол-во измерений:17775
819;29846;Новокузнецк;16081;86.88;53.82;Новокузнецк (29846) кол-во измерений:16081
820;29848;Тогул;17761;85.56;53.28;Тогул (29848) кол-во измерений:17761
821;29849;Кузедеево;17723;87.11;53.2;Кузедеево (29849) кол-во измерений:17723
822;29854;Междуреченск;16940;88.1;53.38;Междуреченск (29854) кол-во измерений:16940
823;29858;Неожиданный;17744;89.07;53.28;Неожиданный (29858) кол-во измерений:17744
824;29862;Хакасский;17715;91.3167;53.7667;Хакасский (29862) кол-во измерений:17715
825;29864;Уйбат ст.ж.д.;17259;90.37;53.72;Уйбат ст.ж.д. (29864) кол-во измерений:17259
826;29866;Минусинск;17775;91.7;53.72;Минусинск (29866) кол-во измерений:17775
827;29869;Ермаковское;17653;92.4167;53.3;Ермаковское (29869) кол-во измерений:17653
828;29870;Курагино;17745;92.6833;53.9;Курагино (29870) кол-во измерений:17745
829;29874;Каратузское;17716;92.85;53.6;Каратузское (29874) кол-во измерений:17716
830;29876;Казыр;17683;94.17;53.68;Казыр (29876) кол-во измерений:17683
831;29892;Хадама;17163;98.81;53.95;Хадама (29892) кол-во измерений:17163
832;29894;Алыгджер;16513;98.22;53.63;Алыгджер (29894) кол-во измерений:16513
833;29915;Славгород;17718;78.6;52.97;Славгород (29915) кол-во измерений:17718
834;29916;Благовещенка;14424;79.51;52.46;Благовещенка (29916) кол-во измерений:14424
835;29923;Ребриха;17245;82.2;53.05;Ребриха (29923) кол-во измерений:17245
836;29928;Мамонтово;17669;81.37;52.42;Мамонтово (29928) кол-во измерений:17669
837;29936;Троицкое;17393;84.41;52.58;Троицкое (29936) кол-во измерений:17393
838;29937;Алейская;17259;82.46;52.31;Алейская (29937) кол-во измерений:17259
839;29939;Бийск-Зональная;17467;84.56;52.41;Бийск-Зональная (29939) кол-во измерений:17467
840;29941;Целинное;17518;85.37;53.05;Целинное (29941) кол-во измерений:17518
841;29946;Кондома;17358;87.16;52.49;Кондома (29946) кол-во измерений:17358
842;29954;Таштагол;12053;87.52000000000001;52.46;Таштагол (29954) кол-во измерений:12053
843;29955;Усть-Кабырза;15912;88.27;52.49;Усть-Кабырза (29955) кол-во измерений:15912
844;29956;Таштып;17643;89.8833;52.8;Таштып (29956) кол-во измерений:17643
845;29961;Аскиз;17229;90.4833;53.1333;Аскиз (29961) кол-во измерений:17229
846;29963;Маинский рудник;13727;91.5;53.10000000000001;Маинский рудник (29963) кол-во измерений:13727
